clin,unspc_code,manufacturer_part_number,manufacturer,sku,description,unit_of_measure,quantity_in_uom,list_price,contract_unit_price,contract_discount,category
1133,43211500,M9M18AV,HP,M9M18AV,32GB (2x16GB) 2133MHz DDR4,Each,1,$504.00,$327.60,35,Options/Upgrade Mobile Workstation Laptop 17
2000,43211500,U7860E,HP,U7860E,"4 Year Warranty, Next Business Day, On-Site",Each,1,$220.00,$176.00,20,"Service Options/Upgrades Standard, Power,Ultralight"
2001,43211500,U7861E,HP,U7861E,"5 Year Warranty, Next Business Day, On-Site",Each,1,$314.00,$251.20,20,"Service Options/Upgrades Standard, Power,Ultralight"
2002,43211500,UF633E,HP,UF633E,"4 Year Warranty, Next Business Day, On-Site",Each,1,$136.00,$108.80,20,Service Options/Upgrades Mobile Workstation Laptop
2003,43211500,UF635E,HP,UF635E,"5 Year Warranty, Next Business Day, On-Site",Each,1,$272.00,$217.60,20,Service Options/Upgrades Mobile Workstation Laptop
2004,43211500,UG841E,HP,UG841E,HP 4y NextBusDay Onsite/DMR NB,Each,1,$167.00,$133.60,20,Service Options/Upgrades Mobile Workstation Laptop
3000,81110000,999-5023,NWN,999-5023,Basic Installation,Each,1,$43.00,$35.69,17,VAS Installation
3001,81110000,999-2001,NWN,999-2001,Basic Asset Tagging,Each,1,$11.00,$9.13,17,"VAS sset Tagging- Bidder adminstration of Sate provided tage
(with number)"
3002,81110000,Included,NWN,Included,Asset information via internet,Each,1,,,17,VAS Asset informatin via internet
3003,81110000,Included,NWN,Included,Self-Warranty Certification,Each,1,,,17,VAS Self Warranty Certification
3004,81110000,999-0003,NWN,999-0003,Basic Imaging,Each,1,$26.00,$21.58,17,VAS  Imaging
3005,81110000,999-0024,NWN,999-0024,Basic Disposition/Disposal Services,Each,1,$11.00,$9.13,17,VAS Take Back Services
3006,81110000,999-5033,NWN,999-5033,Basic Deployment & Logistics,Each,1,$49.00,$40.67,17,VAS Non-Core Deployment and Logistics
3007,81110000,999-5201,NWN,999-5201,Basic Emergency Services,Each,1,$79.00,$65.57,17,VAS Emergency Serices (4 hours response per occurrence)
100c,43211900,"210-AIIJ , 806-2763",DELL,"210-AIIJ , 806-2763","P1917s 19"" Standard Monitor",EACH,1,$249.99,$169.99,32,"19 inch Standard
MONITOR"
101b,43211900,858-BBCU,DELL,858-BBCU,"P2016 19.5"" WideScreen
Monitor",EACH,1,$189.99,$129.20,32,"19 inch WideScreen
MONITOR"
102a,43211900,TD2220,VIEWSONIC,TD2220,"22"" Touchscreen Monitor",EACH,1,$445.00,$302.60,32,"22 inch Touchscreen
MONITOR"
103b,43211900,"210-AIIC, 806-2763",DELL,"210-AIIC, 806-2763","P2217 22"" Widescreen Monitor",EACH,1,$219.99,$149.59,32,"22 inch Widescreen
MONITOR"
104c,43211900,"320-9794, 806-2763",DELL,"210-AIIM, 806-2763","P2417H 24"" Widescreen
Monitor",EACH,1,$299.99,$203.99,32,"24 inch Widescreen
MONITOR"
105b,43211900,VG2847SMH,VIEWSONIC,VG2847SMH,"28"" Widescreen Monitor",EACH,1,$552.00,$375.36,32,"28 inch Widescreen
MONITOR"
200a,43211900,A3793590,DELL,A3793590,"MS - Display cable - DVI-D M -
DVI-D M - 6.6 ft  ( included in
the 22"" widescreen monitor)",EACH,1,$12.99,$8.96,31,Options Upgrades
201b,43211900,A7639742,DELL,A7639742,"6FT C2G DISPLAYPORT
CABLE M/M BLK",EACH,1,$15.99,$11.04,31,Options Upgrades
202,81110000,318-2885,DELL,318-2885,"Dell USB Monitor Soundbar
AC511",EACH,1,$34.99,$24.14,31,Options Upgrades
203,81110000,332-1235,DELL,332-1235,"Dell MSA14 Single Monitor
Arm Stand",EACH,1,$129.99,$89.69,31,Options Upgrades
204,81110000,332-1236,DELL,332-1236,"Dell MDS14 Dual Monitor
Stand",EACH,1,$169.99,$117.29,31,Options Upgrades
205,81110000,855-BBBN,DELL,855-BBBN,"Dell MDA17 Dual Monitor
Stand",EACH,1,$249.99,$172.50,31,Options Upgrades
300a,81110000,"983-7873, 986-4872",DELL,"983-7873, 986-4872","Upgrade 4 Year Warranty
Exchange Replacement",EACH,1,$39.00,$26.91,31,"Service Options
Upgrades"
301a,81110000,983-1324,DELL,983-1324,"Upgrade 5 Year Warranty
Exchange Replacement",EACH,1,$49.00,$33.81,31,"Service Options
Upgrades"
302b,81110000,810-6398,DELL,810-6398,"Upgrade 4 Year Warranty
Exchange Replacement",EACH,1,$100.00,$69.00,31,"Service Options
Upgrades for 30 inch
monitors"
303b,81110000,810-6399,DELL,810-6399,"Upgrade 5 Year Warranty
Exchange Replacement",EACH,1,$150.00,$103.50,31,"Service Options
Upgrades for 30 inch
monitors"
304,81110000,LCD-EEEW-27-01,VIEWSONIC,LCD-EEEW-27-01,"Upgrade 4 Year Warranty
Exchange Replacement",EACH,1,$72.00,$49.68,31,"Service Options
Upgrades"
305,81110000,LCD-EEEW-27-02,VIEWSONIC,LCD-EEEW-27-02,"Upgrade 5 Year Warranty
Exchange Replacement",EACH,1,$121.00,$83.49,31,"Service Options
Upgrades"
306,81110000,806-2756,DELL,806-2756,"Upgrade 4 Year Warranty
Exchange Replacement",EACH,1,$19.00,$13.11,31,"P1917s, P2217,
P2417H Service
Options Upgrades"
